"","person","gender","age","state","studstatus","noexpert","numcomm"
"1",1,1,33,7,2,1,2
"2",2,2,18,10,1,1,5
"3",3,2,36,7,2,1,5
"4",4,2,23,10,1,1,5
"5",5,2,42,10,2,1,6
"6",6,1,48,15,2,0,5
"7",7,2,29,2,1,1,5
"8",8,2,32,17,2,1,5
"9",9,2,28,11,6,1,6
"10",10,2,25,3,2,1,4
"11",11,2,27,17,1,1,1
"12",12,1,20,12,1,1,4
"13",13,2,28,3,2,1,4
"14",14,2,24,12,1,1,2
"15",15,1,31,2,1,0,5
"16",16,1,25,1,1,0,5
"17",17,2,24,14,1,1,3
"18",18,2,55,10,1,1,5
"19",19,1,43,6,2,0,6
"20",20,2,29,2,1,1,6
"21",21,2,32,13,1,0,6
"22",22,2,22,10,1,1,5
"23",23,2,30,12,2,1,5
"24",24,2,36,17,1,1,5
"25",25,2,28,10,2,1,5
"26",26,2,34,14,2,1,5
"27",27,2,29,6,1,1,5
"28",28,2,23,10,1,1,6
"29",29,2,27,10,2,1,5
"30",30,1,46,2,2,0,6
"31",31,2,21,10,1,1,6
"32",32,2,35,2,2,1,0
"33",33,2,24,10,1,1,0
"34",34,2,34,13,2,1,1
"35",35,1,22,2,1,1,7
"36",36,2,27,3,2,1,5
"37",37,2,26,13,1,1,3
"38",38,2,21,9,1,1,5
"39",39,1,37,17,1,1,5
"40",40,1,29,1,2,1,2
"41",41,2,27,10,2,1,5
"42",42,2,24,10,1,0,5
"43",43,2,20,17,2,1,5
"44",44,2,27,6,1,1,5
"45",45,1,50,10,2,1,5
"46",46,1,24,1,1,1,4
"47",47,2,24,10,1,0,5
"48",48,2,24,17,1,0,6
"49",49,2,32,7,2,1,1
"50",50,2,27,2,1,1,15
"51",51,1,24,17,2,1,8
"52",52,2,32,10,1,1,1
"53",53,2,37,17,2,0,7
"54",54,2,25,3,1,0,5
"55",55,2,28,10,1,1,1
"56",56,2,38,1,2,1,5
"57",57,1,24,2,1,1,6
"58",58,2,30,3,1,0,6
"59",59,1,28,3,1,1,5
"60",60,1,21,10,1,1,2
"61",61,2,35,17,2,1,4
"62",62,2,41,6,1,0,5
"63",63,2,24,8,2,1,3
"64",64,2,24,10,2,1,1
"65",65,2,21,15,2,1,0
"66",66,1,37,2,2,1,3
"67",67,1,32,2,2,0,5
"68",68,2,23,10,1,1,6
"69",69,2,27,6,1,1,1
"70",70,2,23,15,1,0,7
"71",71,2,24,9,1,1,1
"72",72,1,32,8,1,1,5
"73",73,2,27,2,1,0,8
"74",74,2,25,17,1,0,5
"75",75,2,21,1,1,1,3
"76",76,1,27,10,1,1,4
"77",77,1,24,2,2,1,3
"78",78,1,43,15,1,1,5
"79",79,2,22,7,1,1,5
"80",80,2,25,10,2,1,4
"81",81,2,23,9,1,1,6
"82",82,1,22,1,1,0,6
"83",83,2,28,7,1,1,3
"84",84,2,25,6,2,1,1
"85",85,2,36,2,2,1,1
"86",86,2,18,7,1,1,3
"87",87,1,24,10,6,0,3
"88",88,2,35,9,1,1,5
"89",89,2,47,10,2,0,9
"90",90,2,23,2,1,1,0
"91",91,2,26,9,1,1,6
"92",92,1,31,3,1,1,1
"93",93,2,33,2,2,0,5
"94",94,2,23,3,1,0,5
"95",95,2,23,1,1,0,2
"96",96,2,20,9,1,1,6
"97",97,2,31,10,2,1,4
"98",98,2,24,10,1,1,6
"99",99,2,42,8,2,0,5
"100",100,2,23,10,1,0,6
"101",101,2,48,9,2,1,5
"102",102,1,31,3,2,1,5
"103",103,1,28,10,1,1,5
"104",104,2,22,10,2,0,5
