"","person","comm","value","purpose","value_x_purpose","chavis_1","chavis_2","chavis_3","chavis_4","chavis_5","chavis_6","chavis_7","chavis_8","chavis_9","chavis_10","chavis_11","chavis_12","chavis_13","chavis_14","chavis_15","chavis_16","chavis_17","chavis_18","chavis_19","chavis_20","chavis_21","chavis_22","chavis_23","chavis_24","chavis_25","omoto_1","omoto_2","omoto_3","omoto_4","omoto_5","omoto_6","omoto_7","omoto_8","omoto_9","omoto_10","omoto_11","omoto_12","omoto_13","omoto_14","omoto_15","omoto_16","omoto_17","omoto_18","jason_1","jason_2","jason_3","jason_4","jason_5","jason_6","jason_7","jason_8","jason_9","halamova_1","halamova_2","halamova_3","halamova_4","halamova_5","halamova_6","halamova_7","halamova_8","halamova_9","halamova_10","halamova_11","halamova_12","halamova_13","halamova_14","halamova_15","halamova_16","halamova_17","halamova_18","halamova_19","halamova_20","halamova_21","halamova_22"
"1",1,2,0.6,0.73,0.438,0,0.6,0.5,0.6,0.5,0,0.8,0.5,0.9,1,0.8,0.6,0.9,0,0.8,0.7,0.9,0.7,0.9,0.6,0.4,0.8,0.5,0.9,0.7,0.8,0.6,0.8,0.7,0.8,0.9,0.8,0.6,0.6,0.7,0.8,0.5,0.8,0.8,0.9,0.6,0.6,0.7,0.9,0.9,0.8,0.7,0.9,0.7,0.9,0,0.9,0.5,0.1,0.3,0.3,0.2,0.4,0.1,0.5,0.1,0.1,0.9,0.5,0.2,0.1,0,0.1,0.7,0.7,0.3,0.2,0.1,0.7
"2",1,8,0.5,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,NA,NA,NA,0.5,NA,NA,NA,NA,0.3,NA,0.6,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2,1,0.05,0.84,0.042,0.27,0.55,0.34,0.35,0.12,0.22,0.56,0.18,0.92,0.86,0.5,0.22,0.27,0.3,0.62,0.5,0.21,0.22,0.02,0.28,0.51,0.55,0.63,0.7,0.19,0.7,0.1,1,0.1,0.23,0.82,0.11,0.05,0.6,0.08,0.02,0.04,0.6,0.11,1,0.9,0.89,0.57,0.5,0.66,0.45,0.25,0.33,0.41,0.25,0.78,0.47,0.67,0.83,0.5,0.51,0.5,0.7,0,0.83,0.53,0.57,0,0,0.53,0,0,0,0,0,0,0.69,0.5,0
"4",2,6,0.7,0.49,0.343,1,0.21,1,0.34,1,0.45,1,0.14,1,1,0.75,0.62,0.33,0.29,0.89,0.71,0.36,0.69,0.06,0.29,1,1,1,1,1,1,1,0.95,0.51,1,1,1,1,0.59,0.9,1,1,1,0.66,0.9,0.5,1,1,0.66,0.94,0.77,0.72,0.72,0.61,0.8,1,0.98,0,0.13,0,0,0,0,0,0.87,0,0,0,0.53,0,0,0.85,0.1,0.52,0.78,0,0,0,0
"5",2,8,0.05,0.95,0.0475,0.46,0.63,0.78,0.64,0.77,0,0.79,0.69,0.82,0.7,0.84,0.19,0.63,0.67,0.65,0.63,0.77,0.63,0.54,0.7,0.18,0.78,0.77,0.83,0.84,0.92,0.97,1,0,0.79,0.86,0.69,0.77,0.67,0.68,0.84,0.14,0.88,0.64,0.68,0,0.82,0.76,0.91,0.73,0.74,0.73,0.74,0.71,0.75,0.19,0.68,0,0,0,0,0,0,0,0,0,0,1,1,0.51,0.81,0.9,0.9,0.91,0.91,0,0,0,0
"6",2,16,0.95,0.65,0.6175,1,1,1,1,1,0.41,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,0.98,1,1,1,0.71,1,1,1,1,1,1,1,1,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0.46,0.47,0,0,1,0.99,1,0,0,0,0,0
"7",2,21,0.5,0.5,0.25,1,1,1,0.98,1,1,1,1,1,1,0.82,1,1,1,1,1,1,1,0.2,1,1,1,1,1,1,1,0,1,1,0.99,0.7,0.66,0.86,1,0.86,1,1,1,1,0.98,0.99,0.71,0.72,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.55,0.77,0,0,0,0,0
"8",3,1,0.7,0.3,0.21,0.7,0.2,0.6,0.5,0.5,0.6,0.7,0.3,0.6,0.4,0.6,0.3,1,0.5,0.75,0.8,0.1,0.3,0.8,0.3,0.75,1,0.85,0.6,0.2,0.6,0.5,1,1,0.8,0.6,0.8,0.5,0.6,0.75,0.75,1,0.9,0.3,0.75,0.75,1,1,0.5,1,0.75,0.5,0.5,0.3,0.6,0.75,0.75,0.2,0.3,0.5,0.3,0.9,0.6,0.1,0.35,0.5,0.2,0.35,0.75,0.3,0.1,0.5,0.5,0.5,0.7,0.5,0.7,0.5,0.6
"9",3,5,0.8,0.6,0.48,0.8,0.8,0.6,0.5,0.75,0.9,0.75,0.5,0.5,0.5,0.1,0.5,1,0.8,1,0.9,0.75,0.6,0.7,0.9,0.9,1,0.5,0.3,0.75,0.8,1,1,0.1,0.1,0.05,0.95,0.95,0.75,0.95,0.75,0.9,0.8,0.5,0.5,0.75,1,0.9,0.5,0.01,1,0.6,0.5,0.2,0.8,1,0.9,0.3,0.6,0.2,0.2,0.7,0.25,0.3,0.1,0.4,0.3,0.8,0.3,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.1,0.5
"10",3,11,0.7,0.8,0.56,0.8,0.6,0.5,0.8,1,0.5,0.75,0.5,0.6,0.9,0.5,0.8,1,0.5,0.7,0.75,0.75,1,0.5,0.8,0.7,0.75,0.75,0.1,0.3,1,0.8,0.3,0.01,0.3,0.5,0.8,0.7,0.8,0.75,0.9,0.8,0.6,0.9,0.75,0.9,0.75,1,0.9,0.75,0.9,0.8,0.8,0.75,1,0.8,1,0.01,0.1,0.2,0.05,0.75,0.05,0.05,0.5,0.1,0.1,0.6,0.8,0.5,0.05,0.97,0.9,0.8,0.75,0.5,0.5,0.5,0.5
"11",3,16,0.95,0.95,0.9025,1,0.8,0.8,0.9,1,0.75,0.5,1,1,1,0.05,1,1,1,0.5,1,0.85,1,0.5,1,0.9,1,1,1,1,1,1,0.8,0.01,0.3,1,0.8,0.8,0.7,0.8,0.8,0.8,1,0.8,1,1,1,1,1,1,1,0.9,1,1,1,0.5,1,0.01,0.1,0.4,0.01,0.3,0.3,0.5,0.5,0.1,0.5,0.9,0.5,0.9,0.8,0.8,0.9,0.8,0.6,0.1,0.5,0.5,0.5
"12",3,22,0.3,0.6,0.18,0.5,0.3,0.4,0.5,0.3,0.25,0.3,0.2,0.2,0.4,0.2,0.2,0.75,0.6,0.65,0.75,0.5,0.5,0.5,0.5,0.3,1,0.3,0.6,0.2,1,0.5,0.05,0.01,0.9,0.8,1,1,0.8,1,0.9,1,1,1,0.9,1,0.75,0.9,0.6,0.75,0.5,0.3,0.5,0.2,0.5,0.75,0.75,0.5,0.4,0.8,0.2,0.8,0.4,0.4,0.5,0.5,0.2,0.6,0.6,0.2,0.1,0.5,0.5,0.5,0.7,0.5,0.4,0.5,0.5
"13",4,1,0.38,0.65,0.247,0,0,0,0.16,0,0.1,0.45,0.29,0.42,0,0.61,0,0.3,0,0.57,0,0,0,0,0,0.39,0.74,0.5,0,0,0.59,0.35,0.95,0,0.79,0.75,0.29,0.15,0.65,0.28,0.74,0.59,0.63,0,0.23,0.77,1,0.7,0.45,0,0,0,0.35,0.5,0,0.63,0.57,0.54,0.68,0.94,0.51,0.78,0.73,0.21,0.74,0.73,0.7,0.83,0.29,0.38,0.11,0.28,0.31,0.37,0.39,0.5,0.64,0.73,0.46
"14",4,2,0.51,0.77,0.3927,0.77,0.76,0.39,0.64,0.93,0.5,0.79,0.37,0.8,0.87,1,0.79,0.78,0.75,0,0.63,0.7,0.81,0.77,0.86,0.63,0.93,0.87,0.91,0.43,0.72,0.79,0.96,0.12,0,0.79,0.49,0.37,0.81,0.67,0.6,0.71,0.94,0.97,1,0.73,0.53,1,0.6,0.79,0.94,0.76,0.87,0.85,0.8,0.36,0.76,0.11,0.18,0.25,0.09,0.64,0.3,0.05,0.43,0.08,0.35,0.8,0.53,0.35,0.19,0.62,0.62,0.63,0.6,0.1,0.28,0.1,0.29
"15",4,6,0.91,0.1,0.091,1,0.92,0.78,1,0.93,0.95,0.6,1,0.65,1,0,0.79,1,0.89,0.61,0.91,0.79,1,0.7,1,0.95,1,1,1,1,0.97,0.9,0.98,0,1,0.97,0.96,0,1,1,0.7,0.72,1,0.96,0.97,1,0.82,0.82,0.97,1,1,0.94,1,0.81,1,1,0.98,0,0,0.03,0,0,0.17,0,0.49,0,0.33,0.78,0.73,0.87,0.96,0.8,0.81,0.96,0.72,0,0,0,0
"16",4,7,0.62,0.66,0.4092,0,0.68,0,0,0.61,0,0,0,0,0,0.28,0.31,0,0,0,0,0,0.17,0.84,0,0,0.7,0,0.38,0,0.55,1,0.98,0,0,1,0.83,0.57,0.34,0.24,0.76,0.63,1,0.39,0.67,0,0.76,0,0.34,0,0,0,0,0.94,0.31,0,0.44,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.71,0.5,0.5,0.57,0.73,0.76,0.44,0.65,0,0,0
"17",4,16,0.92,0.23,0.2116,1,1,0.87,1,1,1,0.87,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0.7,0,0,0.6,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.3,0,0,0.72,0.87,1,1,1,1,1,0.33,0.98,0,0,0
"18",5,2,0.83,0.26,0.2158,0.86,1,0.57,0.93,0.96,0.97,0.63,0.9,0.93,0.94,0,0.55,0.9,0.67,0.86,0.5,0.91,0.92,1,1,0.72,1,0.67,0.98,0.92,1,1,1,0.24,0.7,0.6,0.9,0.7,0.85,1,0.6,0.66,1,0.3,0.3,1,0.85,0.8,0.9,0.9,0.96,0.83,0.96,0.95,1,0.51,0.66,1,0.96,0.68,0.86,0.83,1,0.71,0.67,0.81,0.66,0.79,0,0.85,1,0.94,0,0.67,0,0.82,0,0,0.62
"19",5,3,0.25,1,0.25,0.16,1,0.05,0,0.94,0.12,0.94,0.2,0,0,0,0,0.9,0,1,0,0.1,0,0,1,0,0.88,0,0.93,0,0.81,1,0.94,0.1,0.48,0.51,0.79,0.76,0.94,0.96,0.73,0.53,1,0.27,0.65,1,1,1,0.69,0.94,0,0.05,0.35,0.81,0.41,0,0,0.96,0.03,0,0,0,0.83,0.87,0.55,0.55,0.46,0,0,0.47,0,0.67,0,0,0,0.72,0,0.26,0
